id,date,subscribers
5661,2017-08-21 00:00:00.000000,161597
5662,2017-08-22 00:00:00.000000,161597
5663,2017-08-23 00:00:00.000000,161597
5664,2017-08-24 00:00:00.000000,161597
5665,2017-08-25 00:00:00.000000,161597
5666,2017-08-26 00:00:00.000000,161597
5667,2017-08-27 00:00:00.000000,161597
5668,2017-08-28 00:00:00.000000,161597
5669,2017-08-29 00:00:00.000000,161597
5670,2017-08-30 00:00:00.000000,161597
5671,2017-08-31 00:00:00.000000,161597
5672,2017-09-01 00:00:00.000000,161597
5673,2017-09-02 00:00:00.000000,161597
5674,2017-09-03 00:00:00.000000,161597
5675,2017-09-04 00:00:00.000000,161597
5676,2017-09-05 00:00:00.000000,161597
5677,2017-09-06 00:00:00.000000,161597
5678,2017-09-07 00:00:00.000000,161597
5679,2017-09-08 00:00:00.000000,161597
5680,2017-09-09 00:00:00.000000,161597
5681,2017-09-10 00:00:00.000000,161597
5682,2017-09-11 00:00:00.000000,161597
5683,2017-09-12 00:00:00.000000,161597
5684,2017-09-13 00:00:00.000000,161597
5685,2017-09-14 00:00:00.000000,161597
5686,2017-09-15 00:00:00.000000,161597
5687,2017-09-16 00:00:00.000000,161597
5688,2017-09-17 00:00:00.000000,161597
5689,2017-09-18 00:00:00.000000,161597
5690,2017-09-19 00:00:00.000000,161597
5691,2017-09-20 00:00:00.000000,161597
5692,2017-09-21 00:00:00.000000,161597
5693,2017-09-22 00:00:00.000000,161597
5694,2017-09-23 00:00:00.000000,161597
5695,2017-09-24 00:00:00.000000,161597
5696,2017-09-25 00:00:00.000000,161597
5697,2017-09-26 00:00:00.000000,161597
5698,2017-09-27 00:00:00.000000,161597
5699,2017-09-28 00:00:00.000000,161597
5700,2017-09-29 00:00:00.000000,161597
5701,2017-09-30 00:00:00.000000,161597
5702,2017-10-01 00:00:00.000000,161597
5703,2017-10-02 00:00:00.000000,161597
5704,2017-10-03 00:00:00.000000,161597
5705,2017-10-04 00:00:00.000000,161597
5706,2017-10-05 00:00:00.000000,161597
5707,2017-10-06 00:00:00.000000,161597
5708,2017-10-07 00:00:00.000000,161597
5709,2017-10-08 00:00:00.000000,161597
5710,2017-10-09 00:00:00.000000,161597
5711,2017-10-10 00:00:00.000000,161597
5712,2017-10-11 00:00:00.000000,161597
5713,2017-10-12 00:00:00.000000,161597
5714,2017-10-13 00:00:00.000000,161597
5715,2017-10-14 00:00:00.000000,161597
5716,2017-10-15 00:00:00.000000,161597
5717,2017-10-16 00:00:00.000000,161597
5718,2017-10-17 00:00:00.000000,161597
5719,2017-10-18 00:00:00.000000,161597
5720,2017-10-19 00:00:00.000000,161597
5721,2017-10-20 00:00:00.000000,161597
5722,2017-10-21 00:00:00.000000,161597
5723,2017-10-22 00:00:00.000000,161597
5724,2017-10-23 00:00:00.000000,161597
5725,2017-10-24 00:00:00.000000,161597
5726,2017-10-25 00:00:00.000000,161597
5727,2017-10-26 00:00:00.000000,161597
5728,2017-10-27 00:00:00.000000,161597
5729,2017-10-28 00:00:00.000000,161597
5730,2017-10-29 00:00:00.000000,161597
5731,2017-10-30 00:00:00.000000,161597
5732,2017-10-31 00:00:00.000000,161597
5733,2017-11-01 00:00:00.000000,161597
