date,subscribers
2019-08-14,161604
2019-08-15,161603
2019-08-16,161603
2019-08-17,161603
2019-08-18,161603
2019-08-19,161603
2019-08-20,161603
2019-08-21,161603
2019-08-22,161603
2019-08-23,161603
2019-08-24,161603
2019-08-25,161603
2019-08-26,161603
2019-08-27,161603
2019-08-28,161603
2019-08-29,161603
2019-08-30,161603
2019-08-31,161603
2019-09-01,161603
2019-09-02,161603
2019-09-03,161603
2019-09-04,161603
2019-09-05,161603
2019-09-06,161603
2019-09-07,161603
2019-09-08,161603
2019-09-09,161603
2019-09-10,161603
2019-09-11,161603
2019-09-12,161603
2019-09-13,161603
2019-09-14,161603
2019-09-15,161603
2019-09-16,161603
2019-09-17,161603
2019-09-18,161603
2019-09-19,161603
2019-09-20,161603
2019-09-21,161603
2019-09-22,161603
2019-09-23,161603
2019-09-24,161603
2019-09-25,161603
2019-09-26,161603
2019-09-27,161603
2019-09-28,161603
2019-09-29,161603
2019-09-30,161603
2019-10-01,161603
2019-10-02,161603
2019-10-03,161603
2019-10-04,161603
2019-10-05,161603
2019-10-06,161602
2019-10-07,161602
2019-10-08,161602
2019-10-09,161602
2019-10-10,161602
2019-10-11,161602
2019-10-12,161602
2019-10-13,161602
2019-10-14,161602
2019-10-15,161602
2019-10-16,161602
2019-10-17,161602
2019-10-18,161602
2019-10-19,161602
2019-10-20,161602
2019-10-21,161602
2019-10-22,161602
2019-10-23,161602
2019-10-24,161602
2019-10-25,161602
2019-10-26,161602
2019-10-27,161602
2019-10-28,161602
2019-10-29,161602
2019-10-30,161602
2019-10-31,161602
2019-11-01,161602
2019-11-02,161602
2019-11-03,161602
2019-11-04,161602
2019-11-05,161602
2019-11-06,161602
2019-11-07,161602
2019-11-08,161602
2019-11-09,161602
2019-11-10,161602
2019-11-11,161602
2019-11-12,161602
2019-11-13,161602
2019-11-14,161602
2019-11-15,161602
2019-11-16,161602
2019-11-17,161602
2019-11-18,161602
2019-11-19,161602
2019-11-20,161602
2019-11-21,161602
2019-11-22,161602
2019-11-23,161602
2019-11-24,161602
2019-11-25,161602
2019-11-26,161602
2019-11-27,161602
2019-11-28,161602
2019-11-29,161602
2019-11-30,161602
2019-12-01,161602
2019-12-02,161602
2019-12-03,161602
2019-12-04,161602
2019-12-05,161602
2019-12-06,161602
2019-12-07,161602
2019-12-08,161602
2019-12-09,161602
2019-12-10,161602
2019-12-11,161602
2019-12-12,161602
2019-12-13,161602
2019-12-14,161602
2019-12-15,161602
2019-12-16,161602
2019-12-17,161602
2019-12-18,161602
2019-12-19,161602
2019-12-20,161602
2019-12-21,161602
2019-12-22,161602
2019-12-23,161602
2019-12-24,161602
2019-12-25,161602
2019-12-26,161602
2019-12-27,161602
2019-12-28,161602
2019-12-29,161602
2019-12-30,161602
2019-12-31,161602
2020-01-01,161602
2020-01-02,161602
2020-01-03,161602
2020-01-04,161602
2020-01-05,161602
2020-01-06,161602
2020-01-07,161602
2020-01-08,161602
2020-01-09,161602
2020-01-10,161602
2020-01-11,161602
2020-01-12,161602
2020-01-13,161602
2020-01-14,161602
2020-01-15,161602
2020-01-16,161602
2020-01-17,161602
2020-01-18,161602
2020-01-19,161602
2020-01-20,161602
2020-01-21,161602
2020-01-22,161602
2020-01-23,161602
2020-01-24,161602
2020-01-25,161602
2020-01-26,161601
2020-01-27,161601
2020-01-28,161601
2020-01-29,161601
2020-01-30,161601
2020-01-31,161601
2020-02-01,161601
2020-02-02,161601
2020-02-03,161601
2020-02-04,161601
2020-02-05,161601
2020-02-06,161601
2020-02-07,161601
2020-02-08,161601
2020-02-09,161601
2020-02-10,161601
2020-02-11,161601
2020-02-12,161601
2020-02-13,161601
2020-02-14,161601
2020-02-15,161601
2020-02-16,161601
2020-02-17,161601
2020-02-18,161601
2020-02-19,161601
2020-02-20,161601
2020-02-21,161601
2020-02-22,161601
2020-02-23,161601
2020-02-24,161601
2020-02-25,161601
2020-02-26,161601
2020-02-27,161601
2020-02-28,161601
2020-02-29,161601
2020-03-01,161601
2020-03-02,161601
2020-03-03,161601
2020-03-04,161601
2020-03-05,161601
2020-03-06,161601
2020-03-07,161601
2020-03-08,161601
2020-03-09,161601
2020-03-10,161601
2020-03-11,161601
2020-03-12,161601
2020-03-13,161601
2020-03-14,161601
2020-03-15,161601
2020-03-16,161601
2020-03-17,161601
2020-03-18,161601
2020-03-19,161601
2020-03-20,161601
2020-03-21,161602
2020-03-22,161602
2020-03-23,161602
2020-03-24,161602
2020-03-25,161602
2020-03-26,161602
2020-03-27,161602
2020-03-28,161602
2020-03-29,161602
2020-03-30,161602
2020-03-31,161602
2020-04-01,161602
2020-04-02,161602
2020-04-03,161602
2020-04-04,161602
2020-04-05,161602
2020-04-06,161602
2020-04-07,161602
2020-04-08,161602
2020-04-09,161602
2020-04-10,161602
2020-04-11,161602
2020-04-12,161602
2020-04-13,161602
2020-04-14,161602
2020-04-15,161602
2020-04-16,161602
2020-04-17,161602
2020-04-18,161602
2020-04-19,161602
2020-04-20,161602
2020-04-21,161602
2020-04-22,161602
2020-04-23,161602
2020-04-24,161602
2020-04-25,161602
2020-04-26,161602
2020-04-27,161602
2020-04-28,161602
2020-04-29,161602
2020-04-30,161602
2020-05-01,161602
2020-05-02,161602
2020-05-03,161602
2020-05-04,161602
2020-05-05,161602
2020-05-06,161602
2020-05-07,161602
2020-05-08,161602
2020-05-09,161602
2020-05-10,161602
2020-05-11,161602
2020-05-12,161602
2020-05-13,161602
2020-05-14,161602
2020-05-15,161602
2020-05-16,161602
2020-05-17,161602
2020-05-18,161602
2020-05-19,161602
2020-05-20,161602
2020-05-21,161602
2020-05-22,161602
2020-05-23,161602
2020-05-24,161602
2020-05-25,161602
2020-05-26,161602
2020-05-27,161602
2020-05-28,161602
2020-05-29,161602
2020-05-30,161602
2020-05-31,161602
2020-06-01,161602
2020-06-02,161602
2020-06-03,161602
2020-06-04,161602
2020-06-05,161602
2020-06-06,161602
2020-06-07,161602
2020-06-08,161602
2020-06-09,161603
2020-06-10,161603
2020-06-11,161603
2020-06-12,161603
2020-06-13,161602
2020-06-14,161602
2020-06-15,161602
2020-06-16,161602
2020-06-17,161602
2020-06-18,161602
2020-06-19,161602
2020-06-20,161602
2020-06-21,161602
2020-06-22,161602
2020-06-23,161602
2020-06-24,161602
2020-06-25,161602
2020-06-26,161602
2020-06-27,161602
2020-06-28,161602
2020-06-29,161602
2020-06-30,161602
2020-07-01,161602
2020-07-02,161602
2020-07-03,161602
2020-07-04,161602
2020-07-05,161602
2020-07-06,161602
2020-07-07,161602
2020-07-08,161602
2020-07-09,161602
2020-07-10,161601
2020-07-11,161601
2020-07-12,161601
2020-07-13,161601
2020-07-14,161600
2020-07-15,161600
2020-07-16,161600
2020-07-17,161600
2020-07-18,161600
2020-07-19,161600
2020-07-20,161600
2020-07-21,161600
2020-07-22,161600
2020-07-23,161600
2020-07-24,161600
2020-07-25,161600
2020-07-26,161600
2020-07-27,161600
2020-07-28,161600
2020-07-29,161600
2020-07-30,161600
2020-07-31,161600
2020-08-01,161600
2020-08-02,161600
2020-08-03,161600
2020-08-04,161600
2020-08-05,161600
2020-08-06,161600
2020-08-07,161600
2020-08-08,161600
2020-08-09,161600
2020-08-10,161600
2020-08-11,161600
2020-08-12,161600
2020-08-13,161600
2020-08-14,161600
2020-08-15,161600
2020-08-16,161600
2020-08-17,161600
2020-08-18,161600
2020-08-19,161600
2020-08-20,161600
2020-08-21,161600
2020-08-22,161600
2020-08-23,161600
2020-08-24,161600
2020-08-25,161600
2020-08-26,161600
2020-08-27,161600
2020-08-28,161600
2020-08-29,161600
2020-08-30,161600
2020-08-31,161600
2020-09-01,161600
2020-09-02,161600
2020-09-03,161600
2020-09-04,161600
2020-09-05,161600
2020-09-06,161600
2020-09-07,161600
2020-09-08,161600
2020-09-09,161600
2020-09-10,161600
2020-09-11,161600
2020-09-12,161600
2020-09-13,161600
2020-09-14,161600
2020-09-15,161600
2020-09-16,161600
2020-09-17,161600
2020-09-18,161600
2020-09-19,161600
2020-09-20,161600
2020-09-21,161600
2020-09-22,161600
2020-09-23,161600
2020-09-24,161600
2020-09-25,161600
2020-09-26,161600
2020-09-27,161600
2020-09-28,161600
2020-09-29,161600
2020-09-30,161600
2020-10-01,161600
2020-10-02,161600
2020-10-03,161600
2020-10-04,161600
2020-10-05,161600
2020-10-06,161600
2020-10-07,161600
2020-10-08,161600
2020-10-09,161600
2020-10-10,161600
2020-10-11,161600
2020-10-12,161600
2020-10-13,161600
2020-10-14,161600
2020-10-15,161600
2020-10-16,161600
2020-10-17,161600
2020-10-18,161600
2020-10-19,161600
2020-10-20,161600
2020-10-21,161600
2020-10-22,161600
2020-10-23,161600
2020-10-24,161600
2020-10-25,161600
2020-10-26,161600
2020-10-27,161600
2020-10-28,161600
2020-10-29,161600
2020-10-30,161600
2020-10-31,161600
2020-11-01,161600
2020-11-02,161600
2020-11-03,161600
2020-11-04,161600
2020-11-05,161600
2020-11-06,161600
2020-11-07,161600
2020-11-08,161600
2020-11-09,161600
2020-11-10,161600
2020-11-11,161600
2020-11-12,161600
2020-11-13,161600
2020-11-14,161600
2020-11-15,161600
2020-11-16,161600
2020-11-17,161601
2020-11-18,161601
2020-11-19,161601
2020-11-20,161601
2020-11-21,161601
2020-11-22,161601
2020-11-23,161602
2020-11-24,161602
2020-11-25,161602
2020-11-26,161602
2020-11-27,161602
2020-11-28,161602
2020-11-29,161602
2020-11-30,161602
2020-12-01,161602
2020-12-02,161602
2020-12-03,161602
2020-12-04,161602
2020-12-05,161602
2020-12-06,161602
2020-12-07,161602
2020-12-08,161601
2020-12-09,161601
2020-12-10,161601
2020-12-11,161601
2020-12-12,161601
2020-12-13,161601
2020-12-14,161601
2020-12-15,161601
2020-12-16,161601
2020-12-17,161601
2020-12-18,161601
2020-12-19,161601
2020-12-20,161601
2020-12-21,161601
2020-12-22,161601
2020-12-23,161601
2020-12-24,161601
2020-12-25,161601
2020-12-26,161601
2020-12-27,161601
2020-12-28,161601
2020-12-29,161601
2020-12-30,161601
2020-12-31,161601
2021-01-01,161601
2021-01-02,161601
2021-01-03,161601
2021-01-04,161601
2021-01-05,161600
2021-01-06,161600
2021-01-07,161600
2021-01-08,161600
2021-01-09,161600
